,_id,category,commodity_transaction,country_or_area,quantity,quantity_footnotes,unit,year
41,5d5844fb9d1a687cde4888b4,nuclear_electricity,Electricity - total nuclear production,Armenia,1589.0,,"Kilowatt-hours, million",1998
42,5d5844fb9d1a687cde4888b5,nuclear_electricity,Electricity - total nuclear production,Armenia,1600.0,,"Kilowatt-hours, million",1997
43,5d5844fb9d1a687cde4888b6,nuclear_electricity,Electricity - total nuclear production,Armenia,2324.0,,"Kilowatt-hours, million",1996
44,5d5844fb9d1a687cde4888b7,nuclear_electricity,Electricity - total nuclear production,Belgium,33703.0,,"Kilowatt-hours, million",2014
45,5d5844fb9d1a687cde4888b8,nuclear_electricity,Electricity - total nuclear production,Armenia,304.0,,"Kilowatt-hours, million",1995
46,5d5844fb9d1a687cde4888b9,nuclear_electricity,Electricity - total nuclear production,Belgium,42644.0,,"Kilowatt-hours, million",2013
47,5d5844fb9d1a687cde4888ba,nuclear_electricity,Electricity - total nuclear production,Belgium,40295.0,,"Kilowatt-hours, million",2012
48,5d5844fb9d1a687cde4888bb,nuclear_electricity,Electricity - total nuclear production,Belgium,48234.0,,"Kilowatt-hours, million",2011
49,5d5844fb9d1a687cde4888bc,nuclear_electricity,Electricity - total nuclear production,Belgium,47944.0,,"Kilowatt-hours, million",2010
50,5d5844fb9d1a687cde4888bd,nuclear_electricity,Electricity - total nuclear production,Belgium,45568.0,,"Kilowatt-hours, million",2008
51,5d5844fb9d1a687cde4888be,nuclear_electricity,Electricity - total nuclear production,Belgium,47222.0,,"Kilowatt-hours, million",2009
52,5d5844fb9d1a687cde4888bf,nuclear_electricity,Electricity - total nuclear production,Belgium,48227.0,,"Kilowatt-hours, million",2007
53,5d5844fb9d1a687cde4888c0,nuclear_electricity,Electricity - total nuclear production,Belgium,47595.0,,"Kilowatt-hours, million",2005
54,5d5844fb9d1a687cde4888c1,nuclear_electricity,Electricity - total nuclear production,Belgium,46645.0,,"Kilowatt-hours, million",2006
55,5d5844fb9d1a687cde4888c2,nuclear_electricity,Electricity - total nuclear production,Belgium,47312.0,,"Kilowatt-hours, million",2004
56,5d5844fb9d1a687cde4888c3,nuclear_electricity,Electricity - total nuclear production,Belgium,47379.0,,"Kilowatt-hours, million",2003
57,5d5844fb9d1a687cde4888c4,nuclear_electricity,Electricity - total nuclear production,Belgium,47360.0,,"Kilowatt-hours, million",2002
58,5d5844fb9d1a687cde4888c5,nuclear_electricity,Electricity - total nuclear production,Belgium,46349.0,,"Kilowatt-hours, million",2001
59,5d5844fb9d1a687cde4888c6,nuclear_electricity,Electricity - total nuclear production,Belgium,48157.0,,"Kilowatt-hours, million",2000
60,5d5844fb9d1a687cde4888c7,nuclear_electricity,Electricity - total nuclear production,Belgium,49017.0,,"Kilowatt-hours, million",1999
61,5d5844fb9d1a687cde4888c8,nuclear_electricity,Electricity - total nuclear production,Belgium,46165.0,,"Kilowatt-hours, million",1998
62,5d5844fb9d1a687cde4888c9,nuclear_electricity,Electricity - total nuclear production,Belgium,47408.0,,"Kilowatt-hours, million",1997
63,5d5844fb9d1a687cde4888ca,nuclear_electricity,Electricity - total nuclear production,Belgium,43336.0,,"Kilowatt-hours, million",1996
64,5d5844fb9d1a687cde4888cb,nuclear_electricity,Electricity - total nuclear production,Belgium,41356.0,,"Kilowatt-hours, million",1995
65,5d5844fb9d1a687cde4888cc,nuclear_electricity,Electricity - total nuclear production,Belgium,40624.0,,"Kilowatt-hours, million",1994
66,5d5844fb9d1a687cde4888cd,nuclear_electricity,Electricity - total nuclear production,Belgium,41927.0,,"Kilowatt-hours, million",1993
67,5d5844fb9d1a687cde4888ce,nuclear_electricity,Electricity - total nuclear production,Belgium,43456.0,,"Kilowatt-hours, million",1992
68,5d5844fb9d1a687cde4888cf,nuclear_electricity,Electricity - total nuclear production,Belgium,42861.0,,"Kilowatt-hours, million",1991
69,5d5844fb9d1a687cde4888d0,nuclear_electricity,Electricity - total nuclear production,Belgium,42722.0,,"Kilowatt-hours, million",1990
70,5d5844fb9d1a687cde4888d2,nuclear_electricity,Electricity - total nuclear production,Brazil,15378.0,,"Kilowatt-hours, million",2014
71,5d5844fb9d1a687cde4888d3,nuclear_electricity,Electricity - total nuclear production,Brazil,15450.0,,"Kilowatt-hours, million",2013
72,5d5844fb9d1a687cde4888d4,nuclear_electricity,Electricity - total nuclear production,Brazil,16038.0,,"Kilowatt-hours, million",2012
73,5d5844fb9d1a687cde4888d5,nuclear_electricity,Electricity - total nuclear production,Brazil,15659.0,,"Kilowatt-hours, million",2011
74,5d5844fb9d1a687cde4888d6,nuclear_electricity,Electricity - total nuclear production,Brazil,14523.0,,"Kilowatt-hours, million",2010
75,5d5844fb9d1a687cde4888d7,nuclear_electricity,Electricity - total nuclear production,Brazil,12957.0,,"Kilowatt-hours, million",2009
76,5d5844fb9d1a687cde4888d8,nuclear_electricity,Electricity - total nuclear production,Brazil,13969.0,,"Kilowatt-hours, million",2008
77,5d5844fb9d1a687cde4888d9,nuclear_electricity,Electricity - total nuclear production,Brazil,12350.0,,"Kilowatt-hours, million",2007
78,5d5844fb9d1a687cde4888da,nuclear_electricity,Electricity - total nuclear production,Brazil,13754.0,,"Kilowatt-hours, million",2006
79,5d5844fb9d1a687cde4888db,nuclear_electricity,Electricity - total nuclear production,Brazil,9855.0,,"Kilowatt-hours, million",2005
80,5d5844fb9d1a687cde4888dc,nuclear_electricity,Electricity - total nuclear production,Brazil,11611.0,,"Kilowatt-hours, million",2004
81,5d5844fb9d1a687cde4888dd,nuclear_electricity,Electricity - total nuclear production,Brazil,13358.0,,"Kilowatt-hours, million",2003
82,5d5844fb9d1a687cde4888de,nuclear_electricity,Electricity - total nuclear production,Brazil,13836.0,,"Kilowatt-hours, million",2002
83,5d5844fb9d1a687cde4888df,nuclear_electricity,Electricity - total nuclear production,Brazil,14279.0,,"Kilowatt-hours, million",2001
84,5d5844fb9d1a687cde4888e0,nuclear_electricity,Electricity - total nuclear production,Brazil,6046.0,,"Kilowatt-hours, million",2000
85,5d5844fb9d1a687cde4888e1,nuclear_electricity,Electricity - total nuclear production,Brazil,3977.0,,"Kilowatt-hours, million",1999
86,5d5844fb9d1a687cde4888e2,nuclear_electricity,Electricity - total nuclear production,Brazil,3265.0,,"Kilowatt-hours, million",1998
87,5d5844fb9d1a687cde4888e3,nuclear_electricity,Electricity - total nuclear production,Brazil,3169.0,,"Kilowatt-hours, million",1997
88,5d5844fb9d1a687cde4888e4,nuclear_electricity,Electricity - total nuclear production,Brazil,2429.0,,"Kilowatt-hours, million",1996
89,5d5844fb9d1a687cde4888e5,nuclear_electricity,Electricity - total nuclear production,Brazil,2519.0,,"Kilowatt-hours, million",1995
90,5d5844fb9d1a687cde4888e6,nuclear_electricity,Electricity - total nuclear production,Brazil,1800.0,1,"Kilowatt-hours, million",1994
91,5d5844fb9d1a687cde4888e7,nuclear_electricity,Electricity - total nuclear production,Brazil,1800.0,1,"Kilowatt-hours, million",1993
92,5d5844fb9d1a687cde4888e8,nuclear_electricity,Electricity - total nuclear production,Brazil,1760.0,,"Kilowatt-hours, million",1992
93,5d5844fb9d1a687cde4888e9,nuclear_electricity,Electricity - total nuclear production,Brazil,1442.0,,"Kilowatt-hours, million",1991
